GNL_CD,GEN_SHORT,GEN_LONG
511500ATB,amlodipine besylate + telmisartan,amlodipine besylate (as amlodipine 5mg) + telmisartan 80mg
511600ATB,amlodipine besylate + telmisartan,amlodipine besylate (as amlodipine 5mg) + telmisartan 40mg
511700ATB,amlodipine besylate + telmisartan,amlodipine besylate (as amlodipine 10mg) + telmisartan 40mg
623100ATB,amlodipine besylate + telmisartan,amlodipine besylate (as amlodipine 10mg) + telmisartan 80mg
492800ATB,amlodipine besylate + valsartan,amlodipine besylate (as amlodipine 5mg) + valsartan 0.16g
492900ATB,amlodipine besylate + valsartan,amlodipine besylate (as amlodipine 5mg) + valsartan 80mg
495800ATB,amlodipine besylate + valsartan,amlodipine besylate (as amlodipine 10mg) + valsartan 0.16g
459901ATB,amlodipine camsylate,amlodipine camsylate (as amlodipine 5mg)
662800ATB,amlodipine camsylate + losartan potassium + chlorthalidone,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 45.8mg) + chlorthalidone 12.5mg
662900ATB,amlodipine camsylate + losartan potassium + chlorthalidone,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg) + chlorthalidone 12.5mg
663000ATB,amlodipine camsylate + losartan potassium + chlorthalidone,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg) + chlorthalidone 25mg
663900ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 45.8mg) + rosuvastatin calcium (as rosuvastatin 5mg)
664000ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 45.8mg) + rosuvastatin calcium (as rosuvastatin 10mg)
664100ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 45.8mg) + rosuvastatin calcium (as rosuvastatin 20mg)
664200ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg) + rosuvastatin calcium (as rosuvastatin 5mg)
664300ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg) + rosuvastatin calcium (as rosuvastatin 10mg)
664400ATB,amlodipine camsylate + losartan potassium + rosuvastatin calcium,amlodipine camsylate (as amlodipine 5mg) + losartan potassium (as losartan 91.6mg) + rosuvastatin calcium (as rosuvastatin 20mg)
459801ATB,amlodipine maleate,amlodipine maleate (as amlodipine 5mg)
459802ATB,amlodipine maleate,amlodipine maleate (as amlodipine 2.5mg)
470801ATB,amlodipine mesylate monohydrate,amlodipine mesylate monohydrate (as amlodipine 5mg)
470802ATB,amlodipine mesylate monohydrate,amlodipine mesylate monohydrate (as amlodipine 10mg)
523400ATB,amlodipine oratate + valsartan,amlodipine oratate (as amlodipine 10mg) + valsartan 0.16g
476201ATB,amlodipine orotate,amlodipine orotate (as amlodipine 5mg)
629400ATB,amlodipine orotate + olmesartan medoxomil,amlodipine orotate (as amlodipine 10mg) + olmesartan medoxomil 40mg
629500ATB,amlodipine orotate + olmesartan medoxomil,amlodipine orotate (as amlodipine 5mg) + olmesartan medoxomil 20mg
629600ATB,amlodipine orotate + olmesartan medoxomil,amlodipine orotate (as amlodipine 5mg) + olmesartan medoxomil 40mg
523200ATB,amlodipine orotate + valsartan,amlodipine orotate (as amlodipine 5mg) + valsartan 80mg
523300ATB,amlodipine orotate + valsartan,amlodipine orotate (as amlodipine 5mg) + valsartan 0.16g
532500ASY,ammonium chloride + chlorpheniramine maleate + dihydrocodeine tartrate + DL-methylephedrine hydrochloride,ammonium chloride 0.2g(10mg/mL) + chlorpheniramine maleate 3mg(0.15mg/mL) + dihydrocodeine tartrate 10mg(0.5mg/mL) + DL-methylephedrine hydrochloride 26.2mg(1.31mg/mL)
532600ASY,ammonium chloride + chlorpheniramine maleate + dihydrocodeine tartrate + DL-methylephedrine hydrochloride,ammonium chloride 5g(10mg/mL) + chlorpheniramine maleate 75mg(0.15mg/mL) + dihydrocodeine tartrate 0.25g(0.5mg/mL) + DL-methylephedrine hydrochloride 0.655g(1.31mg/mL)
267300ASY,ammonium chloride + chlorpheniramine maleate + dihydrocodeine tartrate + methylephedrine HCl,ammonium chloride 10mg + chlorpheniramine maleate 150ug + dihydrocodeine tartrate 500ug + methylephedrine HCl 1.31mg
107730CLT,ammonium lactate,ammonium lactate 45g(0.2g/g)
107832CLQ,amorolfine hydrochloride,amorolfine hydrochloride (as amorolfine 0.15g(50mg/mL))
107833CLQ,amorolfine hydrochloride,amorolfine hydrochloride (as amorolfine 0.25g(50mg/mL))
107901ATB,amosulalol hydrochloride,amosulalol hydrochloride 10mg
107902ATB,amosulalol hydrochloride,amosulalol hydrochloride 20mg
108001ATB,amoxapine,amoxapine 0.1g
108002ATB,amoxapine,amoxapine 50mg
108101ATB,amoxicillin,amoxicillin 0.25g
108103ATB,amoxicillin,amoxicillin 0.5g
108130ASY,amoxicillin,amoxicillin 12.5g(25mg/mL)
108102ASY,amoxicillin,amoxicillin 25mg
310500ATB,amoxicillin + clavulanate potassium,amoxicillin 0.125g + clavulanate potassium 62.5mg
310600ATB,amoxicillin + clavulanate potassium,amoxicillin 0.25g + clavulanate potassium 0.125g
310700ATB,amoxicillin + clavulanate potassium,amoxicillin 0.5g + clavulanate potassium 0.125g
440100ATB,amoxicillin + clavulanate potassium,amoxicillin 0.875g + clavulanate potassium 0.125g
462000ATB,amoxicillin + clavulanate potassium,amoxicillin 0.4375g + clavulanate potassium 62.5mg
467400ASY,amoxicillin + clavulanate potassium,amoxicillin 0.2g + clavulanate potassium 50mg
534200ASY,amoxicillin + clavulanate potassium,amoxicillin 750mg(25mg/mL) + clavulanate potassium 0.1875g(6.25mg/mL)
534400ASY,amoxicillin + clavulanate potassium,amoxicillin 1.25g(25mg/mL) + clavulanate potassium 0.3125g(6.25mg/mL)
534600ASY,amoxicillin + clavulanate potassium,amoxicillin 6.25g(25mg/mL) + clavulanate potassium 1.5625g(6.25mg/mL)
534700ASY,amoxicillin + clavulanate potassium,amoxicillin 12.5g(25mg/mL) + clavulanate potassium 3.125g(6.25mg/mL)
534800ASY,amoxicillin + clavulanate potassium,amoxicillin 1.2g(40mg/mL) + clavulanate potassium 0.171g(5.7mg/mL)
535000ASY,amoxicillin + clavulanate potassium,amoxicillin 2g(40mg/mL) + clavulanate potassium 0.285g(5.7mg/mL)
535300ASY,amoxicillin + clavulanate potassium,amoxicillin 10g(40mg/mL) + clavulanate potassium 1.425g(5.7mg/mL)
535500ASY,amoxicillin + clavulanate potassium,amoxicillin 20g(40mg/mL) + clavulanate potassium 2.85g(5.7mg/mL)
536300ASY,amoxicillin + clavulanate potassium,amoxicillin 6g(0.12g/mL) + clavulanate potassium 0.429g(8.58mg/mL)
647300ASY,amoxicillin + clavulanate potassium,amoxicillin 60g(0.12g/mL) + clavulanate potassium 4.29g(8.58mg/mL)
380000ATB,amoxicillin + pivoxil sulbactam,amoxicillin 0.25g + pivoxil sulbactam 0.25g
379800ASY,amoxicillin + pivoxil sulbactam,amoxicillin 25mg + pivoxil sulbactam 25mg
379900ASY,amoxicillin + pivoxil sulbactam,amoxicillin 50mg + pivoxil sulbactam 50mg
108201BIJ,amoxicillin sodium,amoxicillin sodium (as amoxicillin 1g)
108203BIJ,amoxicillin sodium,amoxicillin sodium (as amoxicillin 0.5g)
328900BIJ,amoxicillin sodium + clavulanate potassium,amoxicillin sodium 0.5g + clavulanate potassium 0.1g
329000BIJ,amoxicillin sodium + clavulanate potassium,amoxicillin sodium 1g + clavulanate potassium 0.2g
310400ASY,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 25mg + potassium clavulanate 6.25mg
358500ASY,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 40mg + potassium clavulanate 5.7mg
446500ASY,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 120mg + potassium clavulanate 8.58mg
467200ATB,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 100mg + potassium clavulanate 25mg
467300ATB,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 125mg + potassium clavulanate 31.25mg
467400ATB,amoxicillin sodium + potassium clavulanate,amoxicillin sodium 200mg + potassium clavulanate 50mg
381300BIJ,amoxicillin sodium + sulbactam sodium,amoxicillin sodium 1g + sulbactam sodium 0.5g
381500BIJ,amoxicillin sodium + sulbactam sodium,amoxicillin sodium 0.5g + sulbactam sodium 0.25g
108302BIJ,amphotericin B,amphotericin B 50mg
108501BIJ,amphotericin B,amphotericin B(liposomal) 50mg
589301ATB,ampicillin,ampicillin 0.25g
589302ATB,ampicillin,ampicillin 0.5g
108603BIJ,ampicillin sodium,ampicillin sodium 0.5g
108601ATB,ampicillin sodium,ampicillin sodium 250mg
108603ATB,ampicillin sodium,ampicillin sodium 500mg
328500BIJ,ampicillin sodium + sulbactam sodium,ampicillin sodium 0.5g + sulbactam sodium 0.25g
328600BIJ,ampicillin sodium + sulbactam sodium,ampicillin sodium 1g + sulbactam sodium 0.5g
483800BIJ,amyl nitrate + Sodium nitrate + sodium thiosulfate,amyl nitrate 0.3ml + Sodium nitrate 300mg/10ml + sodium thiosulfate 12.5g/50ml
639601ATB,anagliptin,anagliptin 0.1g
648400ATB,anagliptin + metformin hydrochloride,anagliptin 0.1g + metformin hydrochloride 1g
648500ATB,anagliptin + metformin hydrochloride,anagliptin 0.1g + metformin hydrochloride 0.5g
648600ATB,anagliptin + metformin hydrochloride,anagliptin 0.1g + metformin hydrochloride 0.85g
348101ATB,anagrelide HCl,anagrelide HCl 0.5mg
517801BIJ,anakinra,anakinra 0.1g
109001ATB,anastrozole,anastrozole 1mg
109130COO,anhydrous liquid lanolin,anhydrous liquid lanolin 0.105g(30mg/g)
109101COO,anhydrous liquid lanolin,anhydrous liquid lanolin 30mg
510501BIJ,anidulafungin,anidulafungin 0.1g
109201BIJ,anti-inhibitor coagulant complex,anti-inhibitor coagulant complex 500I.U
109202BIJ,anti-inhibitor coagulant complex,anti-inhibitor coagulant complex 1KI.U
174301BIJ,antilymphocyte immunoglobuline,antilymphocyte immunoglobuline 25mg
109501BIJ,antivenin agkistrodon halys,antivenin agkistrodon halys 6KI.U
617001ATB,apixaban,apixaban 2.5mg
617002ATB,apixaban,apixaban 5mg
109601COS,apraclonidine,apraclonidine(HCl) 5mg
109630COS,apraclonidine hydrochloride,apraclonidine hydrochloride (as apraclonidine 25mg(5mg/mL))
483001ATB,aprepitant,aprepitant 80mg
483002ATB,aprepitant,aprepitant 0.125g
420500CLQ,aprotinin + calcium chloride + human plasma fibrinogen + human plasma thrombin,aprotinin 1MI.U(Aug) + calcium chloride 5.9mg(Dug) + human plasma fibrinogen 65-115mg(Bug) + human plasma thrombin 400-600I.U(Cug)
568400CLQ,aprotinin + calcium chloride + human plasma fibrinogen + human plasma thrombin,aprotinin 3MI.U(Aug) + calcium chloride 17.7mg(Dug) + human plasma fibrinogen 0.195-0.345g(Bug) + human plasma thrombin 1.2-1.8KI.U(Cug)
801300CLQ,aprotinin + calcium chloride + human thrombin + sealer protein,aprotinin 3MI.U(prefilled syringe 1) + calcium chloride 5.88mg(prefilled syringe 2) + human thrombin 500IU(prefilled syringe 2) + sealer protein(fibrinogen 91mg)(prefilled syringe 1)
801400CLQ,aprotinin + calcium chloride + human thrombin + sealer protein,aprotinin 6MI.U(prefilled syringe 1) + calcium chloride 11.76mg(prefilled syringe 2) + human thrombin 1KI.U(prefilled syringe 2) + sealer protein(fibrinogen 0.182g)(prefilled syringe 1)
458900CLQ,aprotinin + calcium chloride + human thrombin + sealer protein + sealer protein,aprotinin(prefilled syringe 1) 3000KIU + calcium chloride(prefilled syringe 2) 5.88mg + human thrombin(prefilled syringe 2) 500IU + sealer protein(fibrinogen 91mg)(prefilled syringe 1) + sealer protein(thrombin XIII 10IU)(prefilled syringe 1)
459000CLQ,aprotinin + calcium chloride + human thrombin + sealer protein + sealer protein,aprotinin(prefilled syringe 1) 6000KIU + calcium chloride(prefilled syringe 2) 11.76mg + human thrombin(prefilled syringe 2) 1000IU + sealer protein(fibrinogen 182mg)(prefilled syringe 1) + sealer protein(thrombin XIII 20IU)(prefilled syringe 1)
617400CLQ,aprotinin + human plasma fibrinogen + thrombin,aprotinin 1MI.U(prefilled syringe 1) + human plasma fibrinogen 95mg(prefilled syringe 1) + thrombin 500I.U(prefilled syringe 2)
360930BIJ,arbekacin sulfate,arbekacin sulfate 75mg(50mg/mL)
360931BIJ,arbekacin sulfate,arbekacin sulfate 0.1g(50mg/mL)
360901BIJ,arbekacin sulfate,arbekacin sulfate 75mg
360902BIJ,arbekacin sulfate,arbekacin sulfate 100mg
359632BIJ,argatroban,argatroban 10mg(0.5mg/mL)
359633BIJ,argatroban,argatroban 10mg(5mg/mL)
359601BIJ,argatroban,argatroban 10mg
451501ATB,aripiprazole,aripiprazole 10mg
451501ATD,aripiprazole,aripiprazole 10mg
451502ATB,aripiprazole,aripiprazole 15mg
451502ATD,aripiprazole,aripiprazole 15mg
451503ATB,aripiprazole,aripiprazole 5mg
451506BIJ,aripiprazole,aripiprazole 0.3g(0.2g/mL)
451507BIJ,aripiprazole,aripiprazole 0.4g(0.2g/mL)
451504ATB,aripiprazole,aripiprazole 2mg
110201ATB,arotinolol hydrochloride,arotinolol hydrochloride 10mg
110202ATB,arotinolol hydrochloride,arotinolol hydrochloride 5mg
588401BIJ,arsenic trioxide,arsenic trioxide 10mg
430101ATB,artemisiae argyi folium,artemisiae argyi folium 95% ethanol ext.(20ug1) 60mg
430102ATB,artemisiae argyi folium,artemisiae argyi folium 95% ethanol ext.(20ug1) 90mg
621702ATB,artemisiae argyi folium isopropanol ext.,artemisiae argyi folium isopropanol ext. 90mg
621701ATB,artemisiae argyi folium isopropanol soft ext.,artemisiae argyi folium isopropanol soft ext.(20ug1) 60mg
616200ATB,artesunate + pyronaridine phosphate,artesunate 60mg + pyronaridine phosphate 180mg
450200BIJ,articaine hydrochloride + epinephrine bitartrate,articaine hydrochloride 68mg(40mg/mL) + epinephrine bitartrate (as epinephrine 17ug(10ug/mL))
513200BIJ,articaine hydrochloride + epinephrine bitartrate,articaine hydrochloride 68mg(40mg/mL) + epinephrine bitartrate (as epinephrine 8.5ug(5ug/mL))
110405ATB,ascorbic acid,ascorbic acid 50mg
110431BIJ,ascorbic acid,ascorbic acid 0.5g(0.25g/mL)
110433BIJ,ascorbic acid,ascorbic acid 10g(0.5g/mL)
110404ATB,ascorbic acid,ascorbic acid 500mg
110404BIJ,ascorbic acid,ascorbic acid 500mg
110406BIJ,ascorbic acid,ascorbic acid 10g
110407BIJ,ascorbic acid,ascorbic acid 5g
110409BIJ,ascorbic acid,ascorbic acid 25g
301500ATB,ascorbic acid + biotin + calcium pantothenate + cyanocobalamin + folic acid + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine nitrate,ascorbic acid 60mg + biotin 0.3mg + calcium pantothenate 10mg + cyanocobalamin 6ug + folic acid 0.8mg + nicotinamide 20mg + pyridoxine hydrochloride 10mg + riboflavin 1.7mg + thiamine nitrate 1.5mg
317000BIJ,ascorbic acid + biotin + cyanocobalamin + dexpanthenol + ergocalciferol + folic acid + nicotinamide + pyridoxine hydrochloride + riboflavin sodium phosphate + thiamine hydrochloride + tocopherol acetate + vitamin A,ascorbic acid 0.1g + biotin 60ug + cyanocobalamin 5ug + dexpanthenol 15mg + ergocalciferol 200I.U + folic acid 0.4mg + nicotinamide 40mg + pyridoxine hydrochloride 4.86mg + riboflavin sodium phosphate 3.6mg + thiamine hydrochloride 3.81mg + tocopherol acetate 10mg + vitamin A 3.3KI.U
316800BIJ,ascorbic acid + dexpanthenol + ergocalciferol + nicotimamide + pyridoxine HCl + retimol palmitate + riboflarin sodium phosphate + thiamine HCl + tocophrerol acetate,ascorbic acid 100mg + dexpanthenol 5mg + ergocalciferol 200I.U + nicotimamide 20mg + pyridoxine HCl 3mg + retimol palmitate 2000I.U + riboflarin sodium phosphate 2.54mg + thiamine HCl 10mg + tocophrerol acetate 1I.U
316900BIJ,ascorbic acid + dexpanthenol + ergocalciferol + nicotinamide + pyridoxine hydrochloride + retinol palmitate + riboflavin sodium phosphate + thiamine hydrochloride + tocopherol acetate,ascorbic acid 0.5g(0.1g/mL) + dexpanthenol 25mg(5mg/mL) + ergocalciferol 1KI.U(200I.U/mL) + nicotinamide 0.1g(20mg/mL) + pyridoxine hydrochloride 15mg(3mg/mL) + retinol palmitate 10KI.U(2KI.U/mL) + riboflavin sodium phosphate 12.7mg(2.54mg/mL) + thiamine hydrochloride 50mg(10mg/mL) + tocopherol acetate 5I.U(1I.U/mL)
110701ATB,aspirin,aspirin 0.1g
110702ATB,aspirin,aspirin 0.5g
110801ATB,aspirin,aspirin(encapsulated) 0.1g
110802ATB,aspirin,aspirin(encapsulated) 0.5g
111001ATE,aspirin,aspirin(enteric coated) (as aspirin 0.1g)
111002ATE,aspirin,aspirin(enteric coated) (as aspirin 75mg)
111001ATB,aspirin,aspirin(enteric coated) 100mg
111003ATE,aspirin,aspirin(enteric coated) 81mg
517900ATB,aspirin + clopidogrel,aspirin 100mg + clopidogrel 75mg
517900ATE,aspirin + clopidogrel bisulfate,aspirin 0.1g + clopidogrel bisulfate (as clopidogrel 75mg)
110902BIJ,aspirin lysine,aspirin lysine 0.9g
638001ATB,asunaprevir,asunaprevir 0.1g
458502ATB,atazanavir sulfate,atazanavir sulfate (as atazanavir 0.15g)
458503ATB,atazanavir sulfate,atazanavir sulfate (as atazanavir 0.2g)
646700ATB,atazanavir sulfate + cobicistat silicon dioxide,atazanavir sulfate (as atazanavir 0.3g) + cobicistat silicon dioxide (as cobicistat 0.15g)
111402ATB,atenolol,atenolol 25mg
111403ATB,atenolol,atenolol 50mg
262100ATB,atenolol + chlorthalidone,atenolol 50mg + chlorthalidone 12.5mg
460200ATB,atenolol + chlorthalidone,atenolol 100mg + chlorthalidone 25mg
657701BIJ,atezolizumab,atezolizumab 1.2g(60mg/mL)
489601ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 10mg)
489602ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 18mg)
489603ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 25mg)
489604ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 40mg)
489605ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 60mg)
489606ATB,atomoxetine hydrochloride,atomoxetine hydrochloride (as atomoxetine 80mg)
111501ATB,atorvastatin calcium,atorvastatin calcium (as atorvastatin 10mg)
111502ATB,atorvastatin calcium,atorvastatin calcium (as atorvastatin 20mg)
111503ATB,atorvastatin calcium,atorvastatin calcium (as atorvastatin 40mg)
111504ATB,atorvastatin calcium,atorvastatin calcium (as atorvastatin 80mg)
633800ATB,atorvastatin calcium + ezetimibe,atorvastatin calcium(as atorvastatin 10mg) + ezetimibe 10mg
633900ATB,atorvastatin calcium + ezetimibe,atorvastatin calcium(as atorvastatin 20mg) + ezetimibe 10mg
524000ATB,atorvastatin calcium + irbesartan,atorvastatin calcium (as atorvastatin 10mg) + irbesartan 0.15g
524100ATB,atorvastatin calcium + irbesartan,atorvastatin calcium (as atorvastatin 20mg) + irbesartan 0.15g
527000ATB,atorvastatin calcium + irbesartan,atorvastatin calcium (as atorvastatin 20mg) + irbesartan 0.3g
527100ATB,atorvastatin calcium + irbesartan,atorvastatin calcium (as atorvastatin 10mg) + irbesartan 0.3g
614500ATB,atorvastatin calcium + S-amlodipine besylate,atorvastatin calcium (as atorvastatin 10mg) + S-amlodipine besylate (as S-amlodipine 2.5mg)
502201ATB,atorvastatin strontium pentahydrat,atorvastatin strontium pentahydrat (as atorvastatin 10mg)
502202ATB,atorvastatin strontium pentahydrat,atorvastatin strontium pentahydrat (as atorvastatin 20mg)
502203ATB,atorvastatin strontium pentahydrat,atorvastatin strontium pentahydrat (as atorvastatin 40mg)
502204ATB,atorvastatin strontium pentahydrat,atorvastatin strontium pentahydrat (as atorvastatin 80mg)
473430BIJ,atosiban,atosiban 6.75mg(7.5mg/mL)
473431BIJ,atosiban,atosiban 37.5mg(7.5mg/mL)
473401BIJ,Atosiban,Atosiban 6.75mg
473402BIJ,Atosiban,Atosiban 37.5mg
439000ATB,atovaquone + proguanil hydrochloride,atovaquone 0.25g + proguanil hydrochloride 0.1g
111830BIJ,atropine sulfate,atropine sulfate 0.5mg(0.5mg/mL)
111831BIJ,atropine sulfate,atropine sulfate 10mg(0.5mg/mL)
111833COS,atropine sulfate,atropine sulfate 0.15g(10mg/mL)
111802BIJ,atropine sulfate,atropine sulfate 500ug
617901BIJ,autologus adipose-derived mesenchymal stem cell,autologus adipose-derived mesenchymal stem cell 3ug10^7ug(3ug10^7ug/mL)
418801BIJ,autologus chondrocyte,autologus chondrocyte 1200ugugugug
112201ATB,avocado soya unsaponifiables,avocado soya unsaponifiables 0.3g
484301BIJ,azacitidine,azacitidine 100mg
112401ATB,azathioprine,azathioprine 50mg
112501ATB,azelastine,azelastine 1mg
112502CLQ,azelastine HCl,azelastine HCl 10mg
112503COS,azelastine HCl,azelastine HCl 0.5mg/ml
112532COS,azelastine hydrochloride,azelastine hydrochloride 3mg(0.5mg/mL)
112533CLQ,azelastine hydrochloride,azelastine hydrochloride 10mg(1mg/mL)
